Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,WeekStarting
1,46.94,44.96,41,44.96,59,57.02,57.02,1/3/2016
2,48.92,46.04,46.04,46.94,51.08,42.08,48.92,1/10/2016
3,48.02,51.98,53.06,55.04,50,51.08,50,1/17/2016
4,33.98,41,51.08,46.94,55.94,51.08,35.96,1/24/2016
5,51.08,60.08,57.92,51.08,41,48.02,51.98,1/31/2016
6,55.94,51.98,53.96,59,53.96,57.92,55.04,2/7/2016
7,48.92,46.94,51.98,46.94,62.06,55.04,44.96,2/14/2016
8,42.08,28.94,30.92,35.96,46.04,57.02,60.98,2/21/2016
9,44.96,44.06,42.98,42.98,33.08,28.94,33.98,2/28/2016
10,41,44.96,48.02,60.08,57.92,53.96,51.98,3/6/2016
11,66.02,69.08,66.92,55.94,62.96,57.92,64.04,3/13/2016
12,50,57.92,62.96,60.98,53.96,51.98,44.06,3/20/2016
13,42.98,51.98,55.94,60.08,57.92,60.98,53.06,3/27/2016
14,69.08,53.06,57.02,66.02,66.02,73.04,71.06,4/3/2016
15,62.06,68,77,71.06,62.96,55.04,57.02,4/10/2016
16,77,71.96,59,68,48.02,60.08,69.98,4/17/2016
17,75.92,68,75.02,78.98,66.92,71.06,77,4/24/2016
18,66.02,66.02,59,69.08,84.02,86,78.98,5/1/2016
19,87.08,84.02,87.08,87.08,75.02,80.96,86,5/8/2016
20,69.98,77,82.94,82.04,77,53.96,68,5/15/2016
21,82.94,77,78.08,86,82.04,77,77,5/22/2016
22,71.06,78.08,86,89.06,89.06,87.98,78.98,5/29/2016
23,96.08,96.08,93.92,93.02,82.94,82.94,89.96,6/5/2016
24,86,87.08,98.96,98.06,91.94,96.08,93.92,6/12/2016
25,84.02,82.04,87.08,96.08,96.08,93.02,89.96,6/19/2016
26,93.02,100.04,102.02,100.04,93.02,91.04,87.98,6/26/2016
27,98.06,96.98,96.98,100.04,93.02,82.04,89.06,7/3/2016
28,100.94,100.94,100.94,96.98,104,102.02,102.92,7/10/2016
29,98.96,98.06,98.96,100.94,98.96,93.92,98.06,7/17/2016
30,96.98,100.94,100.04,98.96,96.98,102.02,95,7/24/2016
31,98.06,100.04,96.98,95,100.94,98.96,98.06,7/31/2016
32,93.02,95,98.06,100.04,93.92,96.98,91.94,8/7/2016
33,96.98,93.92,91.94,93.92,98.96,98.96,100.04,8/14/2016
34,93.92,89.06,82.94,87.98,95,91.94,91.04,8/21/2016
35,82.94,80.96,89.96,91.04,93.92,95,91.94,8/28/2016
36,91.94,89.06,91.04,91.04,91.04,89.06,89.96,9/4/2016
37,96.08,93.92,93.92,87.98,91.94,93.02,91.04,9/11/2016
38,91.94,89.96,89.06,86,89.96,93.92,93.02,9/18/2016
39,78.08,73.94,75.02,80.96,84.92,87.98,84.92,9/25/2016
40,80.96,80.06,75.02,71.96,87.08,89.06,84.02,10/2/2016
41,53.06,62.06,57.02,60.08,64.04,57.92,53.96,10/9/2016
42,53.06,62.96,64.94,62.96,60.98,66.02,59,10/16/2016
43,66.92,69.98,69.08,60.98,62.06,73.04,71.06,10/23/2016
44,68,55.04,50,46.94,66.02,75.02,75.92,10/30/2016
45,57.02,51.98,51.98,46.94,64.04,62.96,51.98,11/6/2016
46,42.98,44.96,53.06,53.06,46.94,51.98,46.04,11/13/2016
47,46.94,50,53.96,48.92,55.94,48.92,46.94,11/20/2016
48,42.98,48.92,46.94,42.08,55.94,51.98,42.08,11/27/2016
49,35.06,30.02,33.08,32,44.96,42.08,37.94,12/4/2016
50,44.96,37.04,39.92,39.02,39.92,39.92,37.04,12/11/2016
51,50,50,51.08,51.08,41,57.02,55.94,12/18/2016
52,50,48.02,39.92,30.92,53.06,46.94,44.06,12/25/2016
